Timestamp,Name group member #1,Name group member #2,Email address #1,Email address member #2,Do you have an Android device (phone or tablet) with OS version 2.3.1 or later?,You will work with ...,,,,,,,,,,,,,,ones
11/27/2012 3:55:25,name1,name2,email@email.com1,email@email.com2,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 3:56:06,name2,name3,email@email.com2,email@email.com3,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 3:57:24,name3,name4,email@email.com3,email@email.com4,Yes I do,Arduino,,,,,,,,,,,,,,1
11/27/2012 3:57:36,name4,name5,email@email.com4,email@email.com5,,Arduino,,,,,,,,,,,,,,1
11/27/2012 4:04:40,name5,name6,email@email.com5,email@email.com6,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 4:04:56,name6,name7,email@email.com6,email@email.com7,,Arduino,,,,,,,,,,,,,,1
11/27/2012 4:06:31,name7,name8,email@email.com7,email@email.com8,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 4:15:36,name8,name9,email@email.com8,email@email.com9,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 5:44:16,name9,name10,email@email.com9,email@email.com10,Yes I do,Arduino,,,,,,,,,,,,,,1
11/27/2012 6:10:05,name10,name11,email@email.com10,email@email.com11,,Arduino,,,,,,,,,,,,,,1
11/27/2012 6:55:14,name11,name12,email@email.com11,email@email.com12,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 7:31:28,name12,name13,email@email.com12,email@email.com13,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 9:08:57,name13,name14,email@email.com13,email@email.com14,Yes I do,Arduino,,,,,,,,,,,,,,1
11/27/2012 9:09:32,name14,name15,email@email.com14,email@email.com15,,Arduino,,,,,,,,,,,,,,1
11/27/2012 10:49:11,name15,name16,email@email.com15,email@email.com16,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 13:03:43,name16,name17,email@email.com16,email@email.com17,Yes I do,Arduino,,,,,,,,,,,,,,1
11/28/2012 0:28:02,name17,name18,email@email.com17,email@email.com18,Yes I do,Android App,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
